ID;Method;Experimental_Object;Accuraty_Time;Accuracy;Evaluation;PU;PEOU;ITU
V1;VeGAn;H;14;48;4,04;4,5;5;4
V2;VeGAn;H;22;56;3,04;3,75;4;3,5
V3;VeGAn;E;14;57;3,95;4;3,5;4
V4;VeGAn;H;13;72;3,84;3,25;4,5;3,5
V5;VeGAn;H;14;68;2,84;3,5;4;3
V6;VeGAn;H;18;56;4,32;3,75;4;4,5
V7;VeGAn;H;22;52;3,8;4,5;5;4,5
V8;VeGAn;H;28;64;3,76;3,75;4,25;4
V9;VeGAn;E;17;62;4,05;4;4,5;3,5
V10;VeGAn;E;21;62;3,43;3,5;4,25;3,5
V11;VeGAn;E;17;67;4,05;2,75;4,25;4
V12;VeGAn;E;8;62;4,05;3,75;4,25;4
V13;VeGAn;E;14;62;4,14;3,25;3,25;4
V14;VeGAn;H;19;60;4,24;4,25;4,25;3,5
V15;VeGAn;H;13;80;3;3,75;4,25;4,5
V16;VeGAn;E;26;57;3,76;2,75;3,75;2,5
V17;VeGAn;H;28;64;4,12;4,75;4,75;5
V18;VeGAn;H;18;60;3,88;4;4,25;3
V19;VeGAn;E;23;48;3,29;4,75;4,25;4,5
V20;VeGAn;H;15;52;3,8;4,25;3,75;4
V21;VeGAn;H;19;56;2,68;3,5;4,25;4
V22;VeGAn;E;15;71;4,05;4,75;4,25;5
V23;VeGAn;E;23;48;2,48;4;4;3,5
V24;VeGAn;H;21;64;3,88;3,25;4,5;4
V25;VeGAn;E;7;57;3,29;4;4,75;4
V26;VeGAn;E;21;62;3,43;2,5;2,5;2,5
V27;VeGAn;E;16;52;2,56;3;4,75;3,5
V28;VeGAn;H;11;44;4;3;4,25;3,5
V29;VeGAn;E;23;48;4;4,25;4,75;4,5
V30;VeGAn;E;6;71;4,43;2,25;4,25;3
V31;VeGAn;H;24;56;3,92;3,75;4,25;4
V32;VeGAn;E;26;57;3,33;3,5;4,5;4,5
G1;GRL-Quant;H;25;64;3,56;3,625;4,21875;3,671875
G2;GRL-Quant;E;19;76;4,19;3,75;3,25;3,5
G3;GRL-Quant;E;17;86;3,33;4;3,75;4,5
G4;GRL-Quant;E;10;67;3,33;4;4,5;4,5
G5;GRL-Quant;E;13;86;3,57;3,25;2,75;3
G6;GRL-Quant;H;17;72;3,76;4,25;5;3,5
G7;GRL-Quant;H;13;64;3,52;3,5;5;2,5
G8;GRL-Quant;H;30;60;3,56;4,25;4,75;4
G9;GRL-Quant;E;20;62;3,71;3,75;4;4
G10;GRL-Quant;H;29;68;3,52;2,75;3,25;2,5
G11;GRL-Quant;E;24;62;3,76;4,5;4,5;4,5
G12;GRL-Quant;E;10;67;3,33;1,5;1,5;1
G13;GRL-Quant;E;12;67;3,71;3,5;4,5;3,5
G14;GRL-Quant;H;10;64;3,88;5;4,5;5
G15;GRL-Quant;E;22;67;2,71;3;4,5;3
G16;GRL-Quant;H;14;72;3,24;3,75;5;3,5
G17;GRL-Quant;E;11;76;3,1;3,75;2,25;3,5
G18;GRL-Quant;H;20;68;2,76;3,75;4,25;4,5
G19;GRL-Quant;E;17;86;3,24;3,75;4,75;4
G20;GRL-Quant;E;3;86;3,43;4;4,75;4
G21;GRL-Quant;E;36;67;2,71;2,5;4,5;1,5
G22;GRL-Quant;H;11;56;3,52;3;2,75;2,5
G23;GRL-Quant;E;16;76;3,52;2,75;3;2
G24;GRL-Quant;H;11;52;3,76;3,5;4;4,5
G25;GRL-Quant;H;15;60;3,48;3;3,5;3
G26;GRL-Quant;H;11;48;3,12;3,75;5;4,5
G27;GRL-Quant;H;22;52;3,68;4;4;3
G28;GRL-Quant;H;8;60;2,24;2,75;4,75;2,5
G29;GRL-Quant;H;32;64;3,12;4,25;4,5;3,5
G30;GRL-Quant;H;16;72;3,36;3,5;4,5;3,5
G31;GRL-Quant;E;16;76;3,33;4,25;3,75;4
G32;GRL-Quant;E;14;86;3,33;4;4,25;3,5
