ID;Method;Experimental_Object;Accuraty_Time;Accuracy;Evaluation;PEOU;PU;ITU
V1;VeGAn;E;15;38,1;2,71;4;3,5;4
V2;VeGAn;E;17;61,9;2,71;5;4,5;5
V3;VeGAn;E;17;66,67;2,86;5;5;5
V4;VeGAn;E;26;57,14;3,29;4,5;3,5;2
V5;VeGAn;E;17;61,9;3,29;2,5;4;4
V6;VeGAn;E;32;57,14;3,43;4;4,5;5
V7;VeGAn;E;16;57,14;3,43;3,5;4;4
V8;VeGAn;E;16;66,67;3,57;4;3,5;4
V9;VeGAn;E;21;85,71;3,57;4;2,5;1
V10;VeGAn;E;31;76,19;3,57;4,5;3;4
V11;VeGAn;E;21;85,71;3,71;3,5;3,5;4
V12;VeGAn;E;25;61,9;3,71;3,5;3;2
V13;VeGAn;E;25;57,14;4;4;4;4
V14;VeGAn;E;15;47,62;4;5;4;4
V15;VeGAn;E;27;52,38;4;3;4,5;4
V16;VeGAn;E;15;61,9;4,14;4,5;5;4
V17;VeGAn;E;1;66,67;4,29;3;5;5
V18;VeGAn;H;31;68;3,29;4;4;5
V19;VeGAn;H;28;44;3,29;4,5;4,5;4
V20;VeGAn;H;17;48;3,43;5;4;3
V21;VeGAn;H;18;60;3,43;4;5;5
V22;VeGAn;H;31;68;3,57;2,5;3,5;2
V23;VeGAn;H;31;64;3,71;4;4,5;4
V24;VeGAn;H;12;60;3,86;3;4;3
V25;VeGAn;H;39;68;3,86;4,5;4,5;5
V26;VeGAn;H;13;56;3,86;3,5;3,5;4
V27;VeGAn;H;15;68;4;4;4,5;5
V28;VeGAn;H;12;56;4;1,5;2;2
V29;VeGAn;H;15;60;4;4;4;4
V30;VeGAn;H;17;64;4;4;4;3
V31;VeGAn;H;13;44;4,14;3,5;4,5;4
V32;VeGAn;H;13;32;4,29;4,5;3;2
V33;VeGAn;H;12;44;4,57;4;4,5;3
V34;VeGAn;H;22;40;4,71;4;4;2
G1;GRL-Quant;E;15;52,38;2,62;2,5;3;3
G2;GRL-Quant;E;17;57,14;4,33;3,5;4,5;4
G3;GRL-Quant;E;20;57,14;3,38;3;3;3
G4;GRL-Quant;E;22;61,9;3,81;3,5;5;5
G5;GRL-Quant;E;13;66,67;2,43;2;2;2
G6;GRL-Quant;E;18;71,43;3,14;3,5;3;3
G7;GRL-Quant;E;16;71,43;3,43;4,5;3;3
G8;GRL-Quant;E;27;71,43;3,05;5;4;4
G9;GRL-Quant;E;13;71,43;3,95;3,5;5;3
G10;GRL-Quant;E;15;71,43;3,57;3;3;3
G11;GRL-Quant;E;16;71,43;3,62;5;4;4
G12;GRL-Quant;E;7;76,19;2,67;5;4;3
G13;GRL-Quant;E;19;76,19;2,67;2;2;2
G14;GRL-Quant;E;20;76,19;2,76;3,5;2,5;3
G15;GRL-Quant;E;6;66,67;4,33;5;4;4
G16;GRL-Quant;E;14;66,67;3,9;2,5;3,5;2
G17;GRL-Quant;E;15;71,43;3,95;4;4,5;5
G18;GRL-Quant;H;10;40;4;5;5;5
G19;GRL-Quant;H;20;48;3,44;2,5;3;2
G20;GRL-Quant;H;5;48;3,48;3;3;4
G21;GRL-Quant;H;10;56;3,4;4;4;4
G22;GRL-Quant;H;20;56;3,4;3;2,5;3
G23;GRL-Quant;H;12;56;4,24;4,5;4;4
G24;GRL-Quant;H;10;60;3,48;4;3;4
G25;GRL-Quant;H;26;60;3,24;3,5;2;5
G26;GRL-Quant;H;12;64;3,56;5;4;4
G27;GRL-Quant;H;13;64;3,32;3,5;3,5;4
G28;GRL-Quant;H;29;64;3,2;5;3;4
G29;GRL-Quant;H;15;64;2,68;5;4;4
G30;GRL-Quant;H;16;68;3,76;3,5;3,5;4
G31;GRL-Quant;H;19;72;3,08;4;2;3
G32;GRL-Quant;H;20;72;3,16;4;3,5;5
G33;GRL-Quant;H;22;72;3,16;3;2,5;2
G34;GRL-Quant;H;21;76;3,16;4;3;3
